03;17;15731
03;18;20692
03;19;26156
03;20;30714
03;21;29469
03;22;32503
03;23;41531
03;24;43878
03;25;48607
03;26;61086
03;27;64650
03;28;66874
03;29;60545
03;30;64254
03;31;74054
04;01;77339
04;02;80397
04;03;96352
04;04;83914
04;05;73668
04;06;71968
04;07;83160
04;08;84794
04;09;85814
04;10;94077
04;11;80762
04;12;72367
04;13;71378
04;14;73729
04;15;83599
04;16;85383
04;17;87119
04;18;81760
04;19;76022
04;20;73955
04;21;75979
04;22;80719
04;23;85418
04;24;105825
04;25;90722
04;26;73888
04;27;66652
04;28;76561
04;29;81678
04;30;86037
